AÑO,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94
1981,6.288835049,11.61086845,39.23357773,27.42541313,56.36520004,34.81096268,29.01164818,27.2780304,81.00858307,25.24496651,22.59393311,39.23357773,50.28317642,15.65303135,59.82811737,104.0601044,15.65303135,42.40226746,29.39974213,29.39974213,27.16651154,27.16651154,39.97890472,46.47707748,59.82811737,48.07302475,50.63006973,62.02280807,5.021112919,6.162377834,4.367197514,6.288835049,4.49933815,9.69034481,6.273742199,12.59296036,9.892573357,11.61086845,16.31856918,14.90787411,22.98981857,47.18288422,18.03834343,13.93463135,23.1198082,17.78891182,17.82174683,27.2780304,29.01164818,27.42541313,29.39974213,34.81096268,39.23357773,26.66518402,19.32250977,56.36520004,83.42829132,35.87653351,15.65303135,16.83407784,22.59393311,25.19866943,50.28317642,81.00858307,85.99500275,58.41627121,25.24496651,42.40226746,35.59476852,77.99793243,65.62572479,49.80282974,81.06393433,94.63619995,113.5269852,57.40548706,71.74311066,59.82811737,104.0601044,127.9912567,88.79946136,95.42430115,48.07302475,44.13197708,46.47707748,27.72323608,45.2508812,61.04984665,50.63006973,51.99141693,27.16651154,33.20549393,39.97890472,62.02280807
1982,0.775053918,3.017948389,10.65918732,19.49589157,27.73530769,22.65026283,36.24514771,9.219179153,35.83123398,17.09591484,14.13649845,10.65918732,57.95368958,15.61722088,64.05991364,40.94849014,15.61722088,44.06414032,9.668316841,9.668316841,16.16672134,16.16672134,24.99957848,111.560379,64.05991364,38.67173004,50.03377914,24.89557838,0.221974283,0.621975958,0.563314617,0.775053918,1.396782756,5.058631897,4.919842243,12.81311607,1.262726545,3.017948389,7.268084526,9.384879112,15.72165966,20.02326202,3.033339262,2.327754021,4.331109524,4.906852722,4.049512386,9.219179153,36.24514771,19.49589157,9.668316841,22.65026283,10.65918732,11.87451458,4.4375453,27.73530769,15.68203449,16.67420959,15.61722088,9.119371414,14.13649845,19.90870285,57.95368958,35.83123398,24.29574013,17.37724495,17.09591484,44.06414032,63.88051605,54.40124893,40.06601715,34.25911713,31.56825638,65.30848694,39.01347733,38.63550186,68.02418518,64.05991364,40.94849014,31.7373867,50.04513168,65.80941772,38.67173004,88.16734314,111.560379,9.063555717,17.48182869,32.9463768,50.03377914,67.32025909,16.16672134,15.68012047,24.99957848,24.89557838
1983,27.27685165,43.49888229,48.73941803,134.4737701,135.7086792,149.0405426,96.6147995,57.47336578,147.9344482,122.6425247,129.0773468,48.73941803,258.4187927,113.7088928,225.5330048,311.7722778,113.7088928,158.0518341,110.2639694,110.2639694,141.0317535,141.0317535,121.2616272,253.142807,225.5330048,170.5613861,179.4296722,158.2760773,47.13153839,22.26137733,45.91409683,27.27685165,37.30472565,75.91547394,101.4734192,164.0467529,26.41403389,43.49888229,44.72883987,101.744873,109.1268768,142.2135925,35.04823685,28.90824699,68.88345337,38.96576309,78.38359833,57.47336578,96.6147995,134.4737701,110.2639694,149.0405426,48.73941803,175.3697815,95.95438385,135.7086792,284.2572937,286.6580505,113.7088928,91.12273407,129.0773468,150.4599915,258.4187927,147.9344482,217.0745544,188.129715,122.6425247,158.0518341,216.5776672,301.7760315,204.7366333,202.9129333,166.5169983,288.8522034,265.119751,187.6690216,175.7908325,225.5330048,311.7722778,208.4168091,162.4023895,148.7879486,170.5613861,167.1160431,253.142807,145.7929382,203.1802521,161.5555115,179.4296722,144.6442108,141.0317535,80.54610443,121.2616272,158.2760773
1984,13.63715649,14.69767284,12.52505207,47.42625046,62.75204849,44.51464081,30.92041588,21.95022964,53.13130951,57.61472702,37.21217728,12.52505207,50.74132156,23.57065964,89.92286682,68.8468399,23.57065964,85.66924286,32.42722702,32.42722702,29.15777588,29.15777588,29.69547844,90.17352295,89.92286682,72.04264069,82.89940643,31.8059845,8.315406799,5.967749119,4.107892036,13.63715649,19.59068298,19.13436127,38.21028137,46.61112595,13.77961922,14.69767284,22.88251305,13.50037289,24.32132912,77.14253998,14.71517277,17.27573776,17.98589897,23.64492416,21.64999771,21.95022964,30.92041588,47.42625046,32.42722702,44.51464081,12.52505207,46.22751617,30.38290024,62.75204849,79.31568146,75.31645203,23.57065964,15.05841637,37.21217728,35.41434479,50.74132156,53.13130951,90.52450562,69.62641144,57.61472702,85.66924286,83.73687744,69.18415833,68.14703369,114.8181763,75.34036255,70.11292267,60.06406784,110.3406525,83.91744995,89.92286682,68.8468399,37.57479477,68.80731964,107.4292297,72.04264069,102.5327148,90.17352295,24.60116959,42.9196701,41.21533585,82.89940643,102.3319855,29.15777588,31.89229393,29.69547844,31.8059845
1985,1.751817942,3.040746212,11.83910942,13.48745537,22.84444427,24.12920189,14.49090576,13.41241169,31.86075211,7.261693478,18.30995941,11.83910942,31.62061119,10.49333382,9.786968231,15.32243061,10.49333382,10.26961613,22.44706345,22.44706345,1.91456902,1.91456902,0.687688529,9.294748306,9.786968231,9.336278915,6.906945705,3.23447156,0.206845015,1.167912364,1.175618887,1.751817942,1.661032677,3.030709267,7.910713196,12.37512112,1.820732951,3.040746212,6.868841648,6.512331963,5.455789566,13.71903706,2.368880987,3.031094074,9.016717911,7.278687,10.12265587,13.41241169,14.49090576,13.48745537,22.44706345,24.12920189,11.83910942,14.00148392,14.89866161,22.84444427,27.16789055,24.94566345,10.49333382,8.514694214,18.30995941,28.00790977,31.62061119,31.86075211,21.47538567,37.09320068,7.261693478,10.26961613,17.8494873,22.60485077,20.20470428,18.69316101,35.86070251,12.0947876,13.16965103,19.32180023,27.78256607,9.786968231,15.32243061,15.91364956,27.34057617,44.08593369,9.336278915,11.42531586,9.294748306,5.977152824,3.377882004,3.760426283,6.906945705,8.649610519,1.91456902,5.608776093,0.687688529,3.23447156
1986,2.89471364,5.876074314,13.88474178,34.98849869,31.08092499,46.37067795,40.79094696,19.27046013,35.73299789,33.29163742,26.90067101,13.88474178,93.27312469,25.28318405,158.2503815,172.5931854,25.28318405,47.13544846,27.54260063,27.54260063,28.27802086,28.27802086,46.33274841,175.1104126,158.2503815,76.59255219,92.75222015,55.71025848,6.733339787,1.993481755,4.766855717,2.89471364,6.749531269,7.57679081,10.40480232,49.62575531,2.92337203,5.876074314,15.99598789,20.01039696,14.68809891,21.33673859,6.644534111,3.950969458,9.648118973,8.044400215,10.64455891,19.27046013,40.79094696,34.98849869,27.54260063,46.37067795,13.88474178,53.3429718,13.21824932,31.08092499,43.16677475,65.75238037,25.28318405,10.65259933,26.90067101,48.11536789,93.27312469,35.73299789,60.64076233,59.80940247,33.29163742,47.13544846,93.78670502,119.7393188,64.23242188,84.17067719,57.11630249,193.3443756,55.93190765,78.02014923,69.9751358,158.2503815,172.5931854,90.28908539,107.2387543,108.5758286,76.59255219,93.50108337,175.1104126,41.03186798,46.19220734,78.82775879,92.75222015,96.59333038,28.27802086,33.54945755,46.33274841,55.71025848
1987,19.43286705,24.44595909,27.61757469,158.5332031,153.8884583,84.81362915,85.44480133,46.65532303,144.6324158,49.22251892,38.41003418,27.61757469,94.3108902,63.45956421,114.2296066,188.2585907,63.45956421,85.42615509,47.37200546,47.37200546,41.88463211,41.88463211,67.42190552,165.3157043,114.2296066,95.31970215,115.9116211,55.20508194,16.49087715,13.49466991,13.77683258,19.43286705,26.36347961,26.12498856,40.37133026,90.55706787,15.81104279,24.44595909,40.60627747,69.69326782,64.06932831,143.6460876,25.02898216,31.54297447,41.74458694,28.13136101,28.23112106,46.65532303,85.44480133,158.5332031,47.37200546,84.81362915,27.61757469,108.0626373,34.38829422,153.8884583,150.6088867,117.9125214,63.45956421,33.0476799,38.41003418,66.64880371,94.3108902,144.6324158,134.9991455,124.7427063,49.22251892,85.42615509,150.0843811,228.3992462,216.9369965,137.6589813,128.2237091,265.0496826,241.0212097,109.5427551,88.7763443,114.2296066,188.2585907,159.3800354,112.1071472,87.52784729,95.31970215,121.2586823,165.3157043,38.09903336,51.64333344,52.25011444,115.9116211,123.7378387,41.88463211,64.6091156,67.42190552,55.20508194
1988,1.759310126,2.866285086,6.015021801,7.190430641,7.310422421,8.333722115,11.32766342,5.995164394,10.6653223,8.820142746,6.205796719,6.015021801,16.39443207,15.12684631,28.06175232,45.67515182,15.12684631,13.07289696,7.032911301,7.032911301,10.43366051,10.43366051,9.865218163,17.48838234,28.06175232,19.51866722,24.80639076,18.02637863,1.533486366,1.404547095,1.163522363,1.759310126,1.972474575,7.150043488,9.243339539,25.29625702,2.083062172,2.866285086,3.778648138,8.615160942,18.21354485,13.60911083,4.327810287,1.872692347,4.579092503,3.729532719,4.077735424,5.995164394,11.32766342,7.190430641,7.032911301,8.333722115,6.015021801,21.40684128,5.044314861,7.310422421,9.161072731,16.30639267,15.12684631,6.896612167,6.205796719,9.622275352,16.39443207,10.6653223,7.425746918,9.742921829,8.820142746,13.07289696,14.3059082,12.28994179,9.28925705,9.028852463,7.063579559,29.70077896,26.08434868,18.27262688,15.78413296,28.06175232,45.67515182,34.36409378,26.12135315,28.94485855,19.51866722,16.16840363,17.48838234,6.728803635,16.60317612,26.61517334,24.80639076,15.94667149,10.43366051,5.650152206,9.865218163,18.02637863
1989,14.22960472,20.76260567,60.23726654,112.0617828,76.32131958,40.27513123,42.13459778,15.16795444,45.65613937,185.1490326,178.2359772,60.23726654,83.30513,125.7642746,42.7866478,53.26493073,125.7642746,233.0246277,29.20270729,29.20270729,135.9678955,135.9678955,103.9579468,47.48199844,42.7866478,139.6651001,45.0453949,131.2918091,11.11583996,15.18427753,12.97998524,14.22960472,17.41623306,31.37887192,38.52086258,102.0029602,12.76672077,20.76260567,38.58045578,49.34020996,87.71035767,192.0021515,18.26015663,23.06986046,33.85951996,25.01465225,18.14842224,15.16795444,42.13459778,112.0617828,29.20270729,40.27513123,60.23726654,175.2810516,57.93178177,76.32131958,178.9130402,186.0790253,125.7642746,110.8909302,178.2359772,81.8527298,83.30513,45.65613937,97.20194244,100.3637619,185.1490326,233.0246277,103.295517,60.69223404,56.57491684,64.0118103,92.74199677,81.74912262,82.53192139,65.54489136,84.53447723,42.7866478,53.26493073,55.15614319,71.64163971,116.169838,139.6651001,102.0897903,47.48199844,18.65924263,25.57100677,37.44495773,45.0453949,40.84502411,135.9678955,33.55879211,103.9579468,131.2918091
1990,2.1482234,2.047964811,5.938867092,19.07364273,21.23034668,10.20327663,5.629953861,3.463045359,28.99209213,15.47387123,13.3649044,5.938867092,12.00860405,7.369757175,17.95965958,30.43834686,7.369757175,27.15458107,6.109232903,6.109232903,4.457150459,4.457150459,2.77266407,25.22150612,17.95965958,18.63099098,18.71640015,6.843165398,1.488718033,0.845879197,1.293037176,2.1482234,3.645968676,3.584140301,7.413340569,11.24234295,1.725290537,2.047964811,2.884317636,8.417079926,12.800951,26.84591103,2.128374338,1.678390265,3.484863997,2.375590086,3.086013079,3.463045359,5.629953861,19.07364273,6.109232903,10.20327663,5.938867092,20.17966461,4.142336845,21.23034668,21.43324852,12.90880299,7.369757175,9.463677406,13.3649044,9.116913795,12.00860405,28.99209213,36.76111984,32.94327164,15.47387123,27.15458107,32.9306488,29.49618721,26.51981735,24.81669044,20.05952835,23.0443325,18.68762016,26.7794838,20.82277298,17.95965958,30.43834686,30.67614174,45.14793015,24.65300179,18.63099098,24.12667465,25.22150612,4.310040951,6.534194946,9.421478271,18.71640015,21.20072937,4.457150459,6.26804924,2.77266407,6.843165398
